"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Properties", "Groovy", "XML", "HTML", "Swift", "C++", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\flutter_note_app\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\user\Desktop\flutter_note_app\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\user\Desktop\flutter_note_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 13, 69
"c:\Users\user\Desktop\flutter_note_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\user\Desktop\flutter_note_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 11, 1, 42
"c:\Users\user\Desktop\flutter_note_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\user\Desktop\flutter_note_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\user\Desktop\flutter_note_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\user\Desktop\flutter_note_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\user\Desktop\flutter_note_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\user\Desktop\flutter_note_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\user\Desktop\flutter_note_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\user\Desktop\flutter_note_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\user\Desktop\flutter_note_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\user\Desktop\flutter_note_app\fonts\GothamPro\stylesheet.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 1, 13, 134
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\user\Desktop\flutter_note_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\user\Desktop\flutter_note_app\lib\constants.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\flutter_note_app\lib\main.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\user\Desktop\flutter_note_app\lib\models\note_model.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\user\Desktop\flutter_note_app\lib\models\note_model.g.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 54
